n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
semi_185;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaddormentate ;semi;addormentato;bonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                              fondeva di desiderio . Quando tutti si ritiravano io rimanevo a camminare nel castello silenzioso , tra le sentinelle < semiaddormentate > , nella bianca luce lunare . Mi aveva talmente invaso l ' amore per le misteriose regioni lontane che il mio corpo ne era                            
mezzo_19;CORIS1980_2000;NARRAT;NARRATRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;               nonna , ha brontolato : - In quel puzzello l ' occhio non ce l ' hanno messo , te lo dico io . - Non à¨ possibile - ha detto la nonna < mezza addormentata > . - E allora sai che ti dico , Cettina ? Che quell ' occhio si deve trovare , e sarà² io a trovarlo , parola di Tano . Alla nonna à¨                   
mezzo_46;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                              , e aggiunsero anche un pannolino . Ingo disse , sollevato : - - Adesso , anche_se sporca non importa . Drago era già  < mezzo addormentato > per cui si lascià² impacchettare senza fare resistenza . La madre guardà² pensierosa la carrozzina . - - Mara ha ragione .                             
mezzo_51;MONITOR2014_16;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_obj;body;maximum_standard;Proximative;Proximative;                           storti , occhi strabici : cosà¬ percepisco la schiera di astanti , chi in carrozzina , chi semisdraiato sulla sedia , chi < mezzo addormentato > . Una vecchia signora tutta piegata a sinistra si sporge dal seggiolone come un pachiderma in_procinto_di uscire                                     
mezzo_59;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo addormentare ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;"                              . "" Poi , appena mi riaddormentavo , Joyce ricominciava a smanazzarmi . Quei due miliardi tardavano ad arrivare . Ero < mezzo addormentato > in poltrona , aspettavo di mangiare . Mi alzai a prendere un bicchier d ' acqua e quando entrai in cucina vidi Picasso                               "
mezzo_71;MONITOR2017_20;STAMPA;STAMPA;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                        letto con le sbarre e le rotelle e la mia Laura sotto le lenzuola col braccio attaccato alle flebo . Passa davanti_a me , à¨ < mezza addormentata > , ma riesco a darle un bacio sulla guancia e a sussurrarle in un orecchio e questa volta in un pianto liberatorio , una                              
mezzo_79;CORIS1980_2000;NARRAT;NARRATRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;                          sveglia alle sette , ma quando ho telefonato a Maria c ' era la solita segreteria maledetta . Sono sceso in strada ancora < mezzo addormentato > , sono andato a citofonare sotto casa sua . Ma anche al citofono non rispondeva nessuno . Mi chiedevo se era già  partita , o                         
mezzo_117;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                             svegliato dal segnale acustico alla porta , non forte ma insistente . Guardà² il piccolo orologio sul comodino , ancora < mezzo addormentato > , e brontolà² fra sà© . Per il Tempo , aveva dormito troppo ! Senza muoversi dal letto Harlan schiaccià² un pulsante e il                               
mezzo_133;CORIS1980_2000;NARRAT;NARRATTrVaria;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                    la faccia contratta dal dolore , e se la scola tutta d ' un fiato . Gregorio prende poi la rotta dell ' arcipelago con l ' uomo < mezzo addormentato > . Ricorda ancora gli occhi vitrei del ferito , il suo abbandono . L ' unica medicina che ha a bordo sono le bottiglie . L '                          
mezzo_145;MONITOR2017_20;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_subj;body;maximum_standard;Proximative;Proximative;                             di preciso era ormai una prassi fin troppo consolidata . Quando c ' era lei la chiamavo meditazione , ma finivo sempre < mezza addormentata > , un corpo stremato da sà© stesso . Questa volta mi svegliai con Chandra in piedi accanto_a me . Quando incrocià² il mio                               
